Name	Type	Waves	Diff Low%	Diff High%	Planet	Notes
Mellow Rebelliousness	Chicken Invasion	7	79%	86%	Gamma Asbolus	
Confused Flyboy	Chicken Invasion	21	9%	30%	Gamma Asbolus	
Front Robbin	Supernova	9	57%	66%	Demodice	
Frilly Tidewater	Supernova	6	77%	83%	Demodice	
Zealous Buckthorn	Chicken Invasion	10	62%	72%	Demodice	
Made-up Furball	Squawk Block	11	59%	70%	Demodice	
Ashamed Purposiveness	Chicken Invasion	12	55%	67%	Demodice	
Exalted Loess	Chicken Invasion	18	95%	100%	Demodice	
False Reductase	Squawk Block	13	38%	51%	Alpha Demodice	
Glistening Marchese	Boss Rush	4	49%	53%	Alpha Demodice	
Modern Fantasia	Squawk Block	5	82%	87%	Alpha Demodice	
Beloved Conjugation	Chicken Invasion	18	10%	28%	Alpha Demodice	
Different Continence	Boss Rush	9	41%	50%	Alpha Demodice	
Flashy Tinware	Comet Chase	7	5%	12%	Alpha Demodice	
Gigantic Gorget	Comet Chase	5	24%	29%	Beta Demodice	
Nimble Assonance	Chicken Invasion	14	99%	100%	Beta Demodice	
Nocturnal King	Chicken Invasion	8	72%	80%	Beta Demodice	
Funny Vittles	Boss Rush	4	88%	92%	Beta Demodice	
Fussy Operation	Chicken Invasion	24	38%	62%	Chi Demodice	
Innocent Desk	Chicken Invasion	28	13%	41%	Chi Demodice	
Orderly Stewpot	Comet Chase	6	25%	31%	Chi Demodice	
Dopey Worker	Feather Fields	5	13%	18%	Chi Demodice	
Great Sightseer	Chicken Invasion	24	3%	27%	Chi Demodice	
Sunny Bath	Squawk Block	11	7%	18%	Chi Demodice	
Needy Comparison	Darkness	20	18%	38%	Delta Demodice	
Flamboyant Greasepaint	Chicken Invasion	16	73%	89%	Delta Demodice	
Perky Housetop	Comet Chase	12	85%	97%	Delta Demodice	
Hurtful Trouper	Chicken Invasion	12	46%	58%	Delta Demodice	
Partial Hair	Darkness	9	48%	57%	Zeta Demodice	
Clear-cut Coarseness	Chicken Invasion	10	93%	100%	Zeta Demodice	
Tinted Blondness	Boss Rush	6	63%	69%	Zeta Demodice	
Hateful Waft	Chicken Invasion	18	64%	82%	Zeta Demodice	
Flawless Adventurousness	Supernova	8	86%	94%	Plutus	
Jagged Schoolbus	Supernova	9	50%	59%	Plutus	
Narrow Boomtown	Chicken Invasion	8	63%	71%	Plutus	
Wan Tooth	Squawk Block	14	50%	64%	Plutus	
Primary Diptych	Chicken Invasion	9	49%	58%	Plutus	
Blond Daikon	Feather Fields	13	57%	70%	Plutus	
Forsaken Dowser	Boss Rush	8	71%	79%	Alpha Plutus	
Illiterate Aphelion	Chicken Invasion	18	88%	100%	Psi Plutus	
Remorseful Worsted	Chicken Invasion	20	99%	100%	Gamma Plutus	
Vague Rebelliousness	Boss Rush	10	92%	100%	Gamma Plutus	
Elliptical Database	Feather Fields	5	99%	100%	Gamma Plutus	
Voluminous Goddaughter	Boss Rush	7	48%	55%	Gamma Plutus	
Dependent Appurtenance	Boss Rush	10	94%	100%	Delta Plutus	
Determined Lustre	Chicken Invasion	16	32%	48%	Delta Plutus	
Dopey Possibility	Chicken Invasion	20	24%	44%	Delta Plutus	
Worried Immutability	Comet Chase	8	71%	79%	Epsilon Plutus	
Alarming Datastream	Boss Rush	7	98%	100%	Epsilon Plutus	
Subtle Ostinato	Chicken Invasion	18	43%	61%	Epsilon Plutus	
Strident Perianth	Squawk Block	15	95%	100%	Epsilon Plutus	
Thorough Replicant	Boss Rush	8	52%	60%	Epsilon Plutus	
Known Newel	Chicken Invasion	18	52%	70%	Epsilon Plutus	
Irritating Jackscrew	Supernova	14	70%	84%	Ptocheia	
Courteous Ostentation	Supernova	10	85%	95%	Ptocheia	
Each Scrollwork	Chicken Invasion	24	85%	100%	Ptocheia	
Dead Polyglot	Boss Rush	9	69%	78%	Ptocheia	
Wiry Tunica	Chicken Invasion	24	86%	100%	Ptocheia	
Bony Ruck	Chicken Invasion	7	51%	58%	Ptocheia	
Webbed Giantess	Feather Fields	14	0%	14%	Alpha Ptocheia	
Unripe Pseudopod	Chicken Invasion	24	70%	94%	Alpha Ptocheia	
Feisty Gamesmanship	Boss Rush	10	56%	66%	Alpha Ptocheia	
Teeming Transmutation	Chicken Invasion	10	40%	50%	Beta Ptocheia	
Oblong Demineralization	Darkness	21	82%	100%	Beta Ptocheia	
Lighthearted Toile	Comet Chase	9	52%	61%	Beta Ptocheia	
Wicked Ratio	Chicken Invasion	24	1%	25%	Beta Ptocheia	
Little Chit	Darkness	18	71%	89%	Beta Ptocheia	
Academic Tautness	Chicken Invasion	18	92%	100%	Gamma Ptocheia	
Filthy Analyst	Chicken Invasion	12	39%	51%	Gamma Ptocheia	
Jealous Draper	Chicken Invasion	28	26%	54%	Gamma Ptocheia	
Positive Clangor	Comet Chase	6	6%	12%	Gamma Ptocheia	
Third Autobahn	Chicken Invasion	18	15%	33%	Gamma Ptocheia	
Notable Wipeout	Chicken Invasion	10	38%	48%	Phi Ptocheia	
Happy-go-lucky Agglutination	Chicken Invasion	20	65%	85%	Upsilon Ptocheia	
Fixed Subclass	Double Team	7	94%	100%	Upsilon Ptocheia	Sweater + Mysterious
Digital Retinol	Chicken Invasion	6	49%	55%	Upsilon Ptocheia	
Spicy Gracefulness	Chicken Invasion	6	5%	11%	Upsilon Ptocheia	
Worthless Demitasse	Chicken Invasion	18	65%	83%	Upsilon Ptocheia	
Mean Sullenness	Double Team	3	65%	68%	Tau Ptocheia	U.C.O. 4 + Boss Chick or U.C.O. 4 + King Crab
Runny Isinglass	Feather Fields	5	66%	71%	Tau Ptocheia	
Thick Dreamworld	Double Team	3	88%	91%	Tau Ptocheia	Boss Chick + Chef
Hairy Thermography	Chicken Invasion	9	79%	88%	Tau Ptocheia	
Blond Adventurousness	Chicken Invasion	28	18%	46%	Tau Ptocheia	
Trifling Gravedigger	Chicken Invasion	20	74%	94%	Tau Ptocheia	
Flickering Gunrunner	Squawk Block	12	26%	38%	Sigma Ptocheia	
Proper Breath	Chicken Invasion	36	89%	100%	Sigma Ptocheia	
Glistening Assumption	Boss Rush	7	84%	91%	Sigma Ptocheia	
Unequaled Billows	Darkness	27	66%	93%	Sigma Ptocheia	
Mature Ampoule	Supernova	5	84%	89%	Cynortas	
Sunny Bioweapon	Supernova	12	19%	31%	Cynortas	
Starry Salad	Chicken Invasion	5	69%	74%	Cynortas	
Fatal Chest	Comet Chase	12	23%	35%	Cynortas	
Abandoned Housetop	Feather Fields	11	91%	100%	Cynortas	
Careless Examination	Squawk Block	6	0%	6%	Cynortas	
Motherly Police	Comet Chase	9	56%	65%	Alpha Cynortas	
Nutritious Scrollwork	Chicken Invasion	14	53%	67%	Alpha Cynortas	
Burly Flowerbed	Chicken Invasion	16	71%	87%	Alpha Cynortas	
Supportive Hovercraft	Chicken Invasion	40	62%	100%	Alpha Cynortas	
Worst Gimmickry	Chicken Invasion	27	81%	100%	Alpha Cynortas	
Vain Requirement	Chicken Invasion	24	39%	63%	Alpha Cynortas	
Forceful Church	Double Team	8	68%	76%	Psi Cynortas	U.C.O. 3 + Mysterious
Nervous Argument	Chicken Invasion	18	25%	43%	Psi Cynortas	
Overdue Broadtail	Chicken Invasion	14	97%	100%	Psi Cynortas	
Notable Replicant	Squawk Block	5	44%	49%	Psi Cynortas	
Tangible Assumption	Chicken Invasion	8	21%	29%	Gamma Cynortas	
Breakable Replacement	Chicken Invasion	20	45%	65%	Gamma Cynortas	
Ancient Switchover	Chicken Invasion	28	85%	100%	Gamma Cynortas	
Strict Godparent	Chicken Invasion	7	95%	100%	Delta Cynortas	
Dizzy Dingbat	Chicken Invasion	32	33%	65%	Delta Cynortas	
Troubled Contract	Chicken Invasion	9	84%	93%	Delta Cynortas	
Insidious Ruck	Chicken Invasion	24	43%	67%	Delta Cynortas	
Quizzical Tunesmith	Chicken Invasion	40	94%	100%	Delta Cynortas	
Frequent Greasepaint	Chicken Invasion	32	48%	80%	Delta Cynortas	
Soupy Poem	Chicken Invasion	24	80%	100%	Zeta Cynortas	
Dead Photoreceptor	Supernova	5	5%	10%	Oceanides	
Fussy Highboy	Supernova	15	20%	35%	Oceanides	
Unaware Anhydride	Chicken Invasion	5	96%	100%	Oceanides	
Outgoing Surmise	Chicken Invasion	24	9%	33%	Oceanides	
Canine Penalty	Chicken Invasion	20	63%	83%	Oceanides	
Sleepy Hearing	Squawk Block	15	35%	50%	Oceanides	
Outstanding Farmer	Boss Rush	6	42%	48%	Oceanides	
Juicy Cartload	Chicken Invasion	30	93%	100%	Oceanides	
Untimely Diamond	Chicken Invasion	12	37%	49%	Alpha Oceanides	
Dangerous Independence	Chicken Invasion	28	99%	100%	Psi Oceanides	
Broken Bluebonnet	Boss Rush	4	18%	22%	Psi Oceanides	
Handsome Cabinet	Squawk Block	5	70%	75%	Gamma Oceanides	
Infatuated Dorado	Squawk Block	15	17%	32%	Delta Oceanides	
Dimwitted Thoughtlessness	Chicken Invasion	7	59%	66%	Delta Oceanides	
Hefty Glockenspiel	Chicken Invasion	15	75%	90%	Delta Oceanides	
Primary Indication	Supernova	15	25%	40%	Phaenna	
Wise Temptress	Supernova	14	62%	76%	Phaenna	
Indelible Codicil	Chicken Invasion	14	87%	100%	Phaenna	
Twin Injury	Chicken Invasion	5	43%	48%	Phaenna	
Tall Impassivity	Chicken Invasion	8	11%	19%	Phaenna	
Trim Sonority	Feather Fields	12	24%	36%	Phaenna	
Babyish Device	Chicken Invasion	30	60%	90%	Alpha Phaenna	
Nippy Disrupter	Chicken Invasion	20	71%	91%	Alpha Phaenna	
Poor Basketmaker	Chicken Invasion	20	23%	43%	Alpha Phaenna	
Measly Flammability	Boss Rush	5	36%	41%	Alpha Phaenna	
Frank Furball	Supernova	12	4%	16%	Antilochus	
Quiet Classifieds	Supernova	12	42%	54%	Antilochus	
Focused Dissembler	Chicken Invasion	32	97%	100%	Antilochus	
Spiteful Efficiency	Chicken Invasion	16	46%	62%	Antilochus	
Thorough Ironstone	Darkness	10	3%	13%	Alpha Antilochus	
Super Perianth	Darkness	18	48%	66%	Alpha Antilochus	
Pretty Wallboard	Chicken Invasion	7	17%	24%	Alpha Antilochus	
Better Vertex	Chicken Invasion	18	71%	89%	Beta Antilochus	
Odd Microcode	Chicken Invasion	36	53%	89%	Gamma Antilochus	
Muddy Oleander	Chicken Invasion	15	45%	60%	Gamma Antilochus	
Pricey Faille	Squawk Block	7	61%	68%	Gamma Antilochus	
United Voile	Squawk Block	6	1%	7%	Gamma Antilochus	
Immense Flimsy	Chicken Invasion	14	3%	17%	Phi Antilochus	
Anguished Dressage	Chicken Invasion	15	99%	100%	Phi Antilochus	
Lonely Worker	Chicken Invasion	9	70%	79%	Phi Antilochus	
Incompatible Panfish	Chicken Invasion	40	70%	100%	Phi Antilochus	
Wasteful Picketer	Feather Fields	5	1%	6%	Phi Antilochus	
Fatherly Aeronautics	Meteor Storm	8	3%	11%	Aylekete	
New Tentativeness	Meteor Storm	6	6%	12%	Aylekete	
Severe Rapier	Meteor Storm	13	24%	37%	Aylekete	
Puzzled Goalpost	Meteor Storm	7	65%	72%	Aylekete	
Functional Instruction	Meteor Storm	8	63%	71%	Aylekete	
Shy Ganache	Supernova	11	4%	15%	Corymbus	
Healthy Curandero	Supernova	14	93%	100%	Corymbus	
Starchy Heuristics	Squawk Block	20	13%	33%	Corymbus	
Present Legitimization	Chicken Invasion	10	83%	93%	Corymbus	
Rare Agglutination	Chicken Invasion	32	80%	100%	Corymbus	
Advanced Contortionist	Chicken Invasion	32	66%	98%	Corymbus	
Crushing Sector	Chicken Invasion	18	83%	100%	Corymbus	
Austere Periodization	Boss Rush	7	23%	30%	Alpha Corymbus	
Well-groomed Gamesmanship	Chicken Invasion	10	57%	67%	Alpha Corymbus	
Plump Underline	Chicken Invasion	6	10%	16%	Alpha Corymbus	
Steel Merino	Boss Rush	6	12%	18%	Alpha Corymbus	
Noteworthy Operation	Squawk Block	6	99%	100%	Alpha Corymbus	
Nimble Winner	Chicken Invasion	6	5%	11%	Beta Corymbus	
Pessimistic Drabness	Squawk Block	20	72%	92%	Beta Corymbus	
Marvelous Outcome	Chicken Invasion	15	39%	54%	Beta Corymbus	
Flimsy Deactivation	Boss Rush	9	88%	97%	Beta Corymbus	
Adventurous Sleepwalker	Boss Rush	9	45%	54%	Beta Corymbus	
Elegant Queen	Double Team	10	56%	66%	Chi Corymbus	King Crab + Special Forces
Valuable Gleanings	Double Team	5	75%	80%	Chi Corymbus	Double Infini-Chick
Whimsical Reoccupation	Squawk Block	15	24%	39%	Chi Corymbus	
Optimistic Improbability	Darkness	9	29%	38%	Chi Corymbus	
Idiotic Pretentiousness	Chicken Invasion	40	8%	48%	Chi Corymbus	
Impish Evaporator	Chicken Invasion	20	84%	100%	Phi Corymbus	
Weepy Arthroscopy	Chicken Invasion	5	63%	68%	Epsilon Corymbus	
Handmade Foreknowledge	Chicken Invasion	10	12%	22%	Epsilon Corymbus	
Decent Jackknife	Boss Rush	10	61%	71%	Epsilon Corymbus	
Only Champaign	Boss Rush	5	23%	28%	Epsilon Corymbus	
Aggravating Netball	Chicken Invasion	20	12%	32%	Epsilon Corymbus	
Acrobatic Sandpit	Supernova	14	93%	100%	Iris	
Great Gamesmanship	Supernova	9	13%	22%	Iris	
Likely Biometrics	Supernova	12	69%	81%	Iris	
Old Leadership	Chicken Invasion	8	86%	94%	Iris	
Dutiful Hospital	Chicken Invasion	27	63%	90%	Iris	
Rash Combativeness	Chicken Invasion	30	64%	94%	Iris	
Instructive Garbage	Squawk Block	7	33%	40%	Iris	
Worn Carpaccio	Comet Chase	11	45%	56%	Iris	
Experienced Resistivity	Chicken Invasion	12	12%	24%	Alpha Iris	
Eminent Improbability	Chicken Invasion	18	51%	69%	Alpha Iris	
Mild Plasmid	Chicken Invasion	7	73%	80%	Alpha Iris	
Zany Employer	Chicken Invasion	10	63%	73%	Alpha Iris	
Composed Contemporaneity	Chicken Invasion	32	26%	58%	Alpha Iris	
Dependent Taproot	Chicken Invasion	18	13%	31%	Chi Iris	
Small Sapwood	Chicken Invasion	5	66%	71%	Chi Iris	
Amused Aperitif	Squawk Block	12	61%	73%	Phi Iris	
Weekly Adventurousness	Chicken Invasion	27	82%	100%	Phi Iris	
Pretty Gesticulation	Chicken Invasion	40	18%	58%	Phi Iris	
Required Religionist	Darkness	10	38%	48%	Phi Iris	
Earnest Contortionist	Boss Rush	3	41%	44%	Upsilon Iris	
Front Museology	Feather Fields	9	99%	100%	Zeta Iris	
Trusting Cabinet	Chicken Invasion	20	94%	100%	Zeta Iris	
Productive Chesterfield	Squawk Block	5	17%	22%	Zeta Iris	
Grown Basketmaker	Chicken Invasion	40	58%	98%	Zeta Iris	
Hidden Complaint	Squawk Block	15	15%	30%	Zeta Iris	
Unlined Artfulness	Squawk Block	12	45%	57%	Eta Iris	
Large Gate	Chicken Invasion	20	73%	93%	Eta Iris	
Humiliating Son	Chicken Invasion	18	51%	69%	Eta Iris	
Decisive Subjectivist	Chicken Invasion	27	80%	100%	Eta Iris	
Profuse Vertex	Chicken Invasion	18	78%	96%	Eta Iris	
Astonishing Flammability	Boss Rush	6	32%	38%	Theta Iris	
Open Taproot	Feather Fields	9	84%	93%	Theta Iris	
Acrobatic Uncle	Chicken Invasion	20	78%	98%	Theta Iris	
Impolite Sister	Squawk Block	14	78%	92%	Theta Iris	
Teeming Precipitator	Comet Chase	13	35%	48%	Theta Iris	
Ecstatic Godparent	Chicken Invasion	7	79%	86%	Theta Iris	
Slim Airframe	Boss Rush	3	75%	78%	Iota Iris	
Formal Preference	Boss Rush	7	43%	50%	Iota Iris	
Motionless Airport	Chicken Invasion	10	39%	49%	Iota Iris	
Present Aperitif	Chicken Invasion	36	8%	44%	Iota Iris	
Similar Penstemon	Boss Rush	10	78%	88%	Iota Iris	
Dazzling Slipknot	Chicken Invasion	24	5%	29%	Omicron Iris	
Low Congruity	Chicken Invasion	8	15%	23%	Omicron Iris	
Unhealthy Demonstrability	Boss Rush	9	98%	100%	Omicron Iris	
Idolized Temptress	Supernova	11	52%	63%	Asterius	
Cylindrical Swale	Chicken Invasion	6	78%	84%	Asterius	
Honorable Sandlot	Boss Rush	9	66%	75%	Asterius	
Total Debe	Chicken Invasion	6	73%	79%	Asterius	
Bite-sized Bread	Chicken Invasion	16	96%	100%	Alpha Asterius	
Short-term Tablespoonful	Squawk Block	17	5%	22%	Alpha Asterius	
Grumpy Appurtenance	Chicken Invasion	24	6%	30%	Gamma Asterius	
Fast Upright	Squawk Block	8	30%	38%	Gamma Asterius	
Admirable Belatedness	Chicken Invasion	10	69%	79%	Gamma Asterius	
Sociable Worker	Boss Rush	9	66%	75%	Gamma Asterius	
Required Malleability	Squawk Block	5	35%	40%	Delta Asterius	
Parallel Dockyard	Chicken Invasion	5	33%	38%	Delta Asterius	
Smooth Backtalk	Chicken Invasion	32	99%	100%	Delta Asterius	
Daring Poetry	Feather Fields	14	27%	41%	Delta Asterius	
Lovely Rentier	Chicken Invasion	21	0%	21%	Delta Asterius	
Tedious Assistant	Chicken Invasion	12	25%	37%	Delta Asterius	
Safe Rapier	Chicken Invasion	36	48%	84%	Epsilon Asterius	
Celebrated Astrobiologist	Chicken Invasion	12	18%	30%	Epsilon Asterius	
Similar Childlessness	Chicken Invasion	27	75%	100%	Epsilon Asterius	
Aching Guilloche	Chicken Invasion	6	58%	64%	Epsilon Asterius	
Uncomfortable Menu	Boss Rush	10	21%	31%	Epsilon Asterius	
Easy-going Indication	Chicken Invasion	20	45%	65%	Epsilon Asterius	
Windy Selectman	Boss Rush	7	31%	38%	Tau Asterius	
Outstanding Attractant	Darkness	7	54%	61%	Tau Asterius	
Delayed Homework	Comet Chase	13	46%	59%	Tau Asterius	
Direct Thermals	Chicken Invasion	6	27%	33%	Tau Asterius	
Loose Loden	Chicken Invasion	8	79%	87%	Tau Asterius	
Raw Workability	Chicken Invasion	36	75%	100%	Tau Asterius	
Limping Copybook	Chicken Invasion	20	47%	67%	Eta Asterius	
Shy Desalinization	Chicken Invasion	6	56%	62%	Rho Asterius	
Inconsequential Ejector	Darkness	24	0%	24%	Rho Asterius	
Immaterial Misquote	Supernova	14	7%	21%	Myrina	
Yummy Romanticist	Supernova	13	28%	41%	Myrina	
Distinct Fibrin	Supernova	15	0%	15%	Myrina	
Faraway Unknowability	Chicken Invasion	24	44%	68%	Myrina	
Corny Conjugation	Chicken Invasion	16	48%	64%	Myrina	
Elegant Cordial	Chicken Invasion	6	55%	61%	Myrina	
Unusual Childe	Comet Chase	5	92%	97%	Myrina	
Bossy Fibrin	Boss Rush	4	28%	32%	Alpha Myrina	
Caring Bildungsroman	Boss Rush	10	34%	44%	Psi Myrina	
Junior Telescreen	Chicken Invasion	20	74%	94%	Psi Myrina	
Quarrelsome Packinghouse	Chicken Invasion	18	34%	52%	Psi Myrina	
Playful Practicability	Double Team	3	63%	66%	Psi Myrina	U.C.O. 2 + Mother-Hen
Modern Scintilla	Double Team	9	75%	84%	Psi Myrina	Sweater + King Crab
Cavernous Corm	Chicken Invasion	20	29%	49%	Psi Myrina	
Dental Dogmatics	Chicken Invasion	12	89%	100%	Gamma Myrina	
Awful Millipede	Darkness	12	97%	100%	Gamma Myrina	
Intelligent Chocolate	Supernova	13	5%	18%	Chalcon	
Intent Cupful	Supernova	14	25%	39%	Chalcon	
Unlawful Permission	Supernova	12	13%	25%	Chalcon	
Shocking Highway	Feather Fields	11	73%	84%	Chalcon	
Junior Reputation	Chicken Invasion	5	45%	50%	Chalcon	
Uneven Canvass	Chicken Invasion	10	10%	20%	Chalcon	
Our Obligation	Boss Rush	4	83%	87%	Alpha Chalcon	
Long-term Backstory	Chicken Invasion	7	49%	56%	Alpha Chalcon	
Unused Committee	Chicken Invasion	15	73%	88%	Beta Chalcon	
Comfortable Sidesaddle	Chicken Invasion	14	39%	53%	Beta Chalcon	
High Cabinet	Chicken Invasion	21	32%	53%	Beta Chalcon	
Distorted Crabapple	Darkness	8	9%	17%	Phi Chalcon	
Awkward Pseudopod	Chicken Invasion	12	37%	49%	Phi Chalcon	
Honored Eeriness	Chicken Invasion	32	99%	100%	Phi Chalcon	
Enchanted Purebred	Squawk Block	19	69%	88%	Phi Chalcon	
Insistent Opacification	Chicken Invasion	28	97%	100%	Upsilon Chalcon	
Knobby Stewpot	Boss Rush	10	34%	44%	Upsilon Chalcon	
Mean Session	Chicken Invasion	10	67%	77%	Upsilon Chalcon	
Breakable Skittle	Feather Fields	14	94%	100%	Upsilon Chalcon	
Possible Tastemaker	Squawk Block	11	69%	80%	Zeta Chalcon	
Weird Drib	Squawk Block	8	65%	73%	Zeta Chalcon	
Webbed Astrobiologist	Feather Fields	12	53%	65%	Zeta Chalcon	
Loose Clothes	Chicken Invasion	14	61%	75%	Zeta Chalcon	
Optimistic Businessperson	Supernova	7	47%	54%	Mysius	
Tall Dingbat	Supernova	8	39%	47%	Mysius	
Sick Enthusiasm	Boss Rush	3	69%	72%	Mysius	
Cruel Recognizance	Chicken Invasion	40	99%	100%	Mysius	
Grouchy Tentativeness	Squawk Block	13	83%	96%	Mysius	
Alive Database	Feather Fields	5	6%	11%	Mysius	
Sticky Diamond	Chicken Invasion	20	26%	46%	Mysius	
Lighthearted Pointlessness	Chicken Invasion	15	37%	52%	Alpha Mysius	
Normal Profession	Chicken Invasion	5	44%	49%	Alpha Mysius	
Milky Chooser	Chicken Invasion	9	58%	67%	Alpha Mysius	
Smug Provenience	Chicken Invasion	32	72%	100%	Alpha Mysius	
Visible Affair	Darkness	10	29%	39%	Alpha Mysius	
Urban Obsessiveness	Chicken Invasion	20	51%	71%	Beta Mysius	
Useless Penstemon	Chicken Invasion	6	36%	42%	Beta Mysius	
Wrong Hospital	Chicken Invasion	36	90%	100%	Beta Mysius	
Biodegradable Wedding	Double Team	9	51%	60%	Chi Mysius	Double Chef
Failing Whelk	Darkness	27	4%	31%	Chi Mysius	
Fat Subjunctive	Chicken Invasion	32	48%	80%	Chi Mysius	
Everlasting Guesstimate	Double Team	7	75%	82%	Chi Mysius	Mother-Hen + Party Time
Taut Bedroom	Double Team	5	84%	89%	Chi Mysius	Super-Chick + Crab V2
Instructive Magnetics	Chicken Invasion	12	67%	79%	Phi Mysius	
Silver Mansard	Feather Fields	15	55%	70%	Phi Mysius	
Giant Perception	Chicken Invasion	7	43%	50%	Upsilon Mysius	
Exhausted Gunrunner	Feather Fields	7	73%	80%	Upsilon Mysius	
Bubbly Childe	Chicken Invasion	18	44%	62%	Zeta Mysius	
Tiny Cheek	Squawk Block	17	14%	31%	Sigma Mysius	
Realistic Bonus	Supernova	5	53%	58%	Menoetes	
Thorough Daub	Supernova	9	18%	27%	Menoetes	
Jaded Gamesmanship	Squawk Block	11	99%	100%	Menoetes	
Kind Deactivation	Chicken Invasion	21	57%	78%	Menoetes	
Scrawny Birdcage	Chicken Invasion	30	36%	66%	Menoetes	
Weird Workpiece	Squawk Block	11	29%	40%	Menoetes	
Beautiful Ammonite	Chicken Invasion	24	59%	83%	Menoetes	
Submissive Agarose	Chicken Invasion	20	70%	90%	Menoetes	
Lonely Variation	Boss Rush	5	81%	86%	Alpha Menoetes	
Shimmering Excitement	Squawk Block	7	22%	29%	Alpha Menoetes	
Lame Carryall	Feather Fields	10	77%	87%	Alpha Menoetes	
Rundown Aphelion	Squawk Block	8	56%	64%	Alpha Menoetes	
Well-informed Dimer	Chicken Invasion	6	31%	37%	Alpha Menoetes	
Tidy Gravedigger	Comet Chase	12	87%	99%	Alpha Menoetes	
Clumsy Bildungsroman	Comet Chase	7	63%	70%	Chi Menoetes	
Grubby Employer	Boss Rush	10	60%	70%	Chi Menoetes	
Impartial Bestowal	Squawk Block	20	74%	94%	Chi Menoetes	
Tidy Shuffleboard	Supernova	10	80%	90%	Despoina	
Massive Church	Chicken Invasion	18	21%	39%	Despoina	
Ornery Obsessiveness	Boss Rush	3	62%	65%	Despoina	
Pleased Lodestone	Comet Chase	13	15%	28%	Despoina	
Lazy Guanine	Chicken Invasion	7	84%	91%	Despoina	
Overlooked Refrigerator	Chicken Invasion	30	26%	56%	Despoina	
Intent Metrology	Chicken Invasion	8	50%	58%	Alpha Despoina	
Sugary Townsman	Chicken Invasion	36	57%	93%	Gamma Despoina	
Thoughtful Brusqueness	Chicken Invasion	24	71%	95%	Gamma Despoina	
Potable Lustre	Feather Fields	10	98%	100%	Phi Despoina	
Victorious Gesticulation	Feather Fields	12	18%	30%	Phi Despoina	
Athletic Relator	Comet Chase	9	64%	73%	Phi Despoina	
Elated Pretentiousness	Boss Rush	7	5%	12%	Epsilon Despoina	
Ample Demineralization	Chicken Invasion	21	5%	26%	Epsilon Despoina	
Elastic Businessperson	Chicken Invasion	24	29%	53%	Epsilon Despoina	
Querulous Plantsman	Chicken Invasion	10	10%	20%	Tau Despoina	
Entire Belatedness	Boss Rush	3	83%	86%	Tau Despoina	
Scaly Currency	Darkness	24	91%	100%	Tau Despoina	
Milky Dudgeon	Feather Fields	8	75%	83%	Eta Despoina	
Unrealistic Ingrain	Chicken Invasion	36	69%	100%	Eta Despoina	
First Thermography	Chicken Invasion	18	67%	85%	Rho Despoina	
Ripe Childlessness	Boss Rush	4	6%	10%	Rho Despoina	
Elated Sleepwear	Chicken Invasion	40	77%	100%	Rho Despoina	
Abandoned Weakness	Chicken Invasion	16	46%	62%	Rho Despoina	
Clear Transmittance	Squawk Block	8	59%	67%	Pi Despoina	
Yellow Interdict	Squawk Block	13	5%	18%	Pi Despoina	
Elastic Disrupter	Boss Rush	8	59%	67%	Pi Despoina	
Loathsome Trackside	Darkness	12	67%	79%	Pi Despoina	
Wealthy Reoccupation	Chicken Invasion	10	17%	27%	Pi Despoina	
Sociable Disaster	Comet Chase	10	43%	53%	Omicron Despoina	
Adventurous Safehouse	Squawk Block	12	29%	41%	Omicron Despoina	
Well-off Nonconformity	Chicken Invasion	21	64%	85%	Omicron Despoina	
Frayed Salad	Boss Rush	5	26%	31%	Omicron Despoina	
